record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm]
908721741,609380033,-1361684565,0.0,1083.6,2.221,100,103,84,0.0
908721742,609380121,-1361684631,0.81,1082.6,1.474,100,102,84,0.0
908721743,609380314,-1361684761,2.7,1082.8,1.474,100,102,89,0.0
908721744,609380509,-1361685003,5.01,1082.0,1.857,100,102,89,0.0
908721745,609380691,-1361685248,7.23,1082.6,2.5380000000000003,100,102,89,0.0
908721746,609380980,-1361685542,10.44,1082.0,3.07,100,102,89,0.0
908721747,609381334,-1361685827,14.13,1082.0,3.247,100,102,89,0.0
908721748,609381692,-1361686118,17.89,1082.0,3.387,100,102,89,0.0
908721749,609381981,-1361686670,21.85,1081.2,3.4339999999999997,100,102,88,0.0
908721750,609382341,-1361687078,25.95,1081.6,3.471,100,101,87,0.5
908721751,609382711,-1361687440,29.99,1081.0,3.4989999999999997,100,101,87,0.5
908721752,609383096,-1361687784,34.1,1081.8,3.508,100,101,87,0.5
908721753,609383449,-1361688224,38.24,1081.0,3.4989999999999997,100,101,87,0.5
908721754,609383803,-1361688631,42.3,1081.6,3.415,100,101,86,0.0
908721755,609384167,-1361688957,46.2,1081.2,3.415,100,100,86,0.0
908721756,609384477,-1361689378,50.0,1081.2,3.424,100,100,86,0.5
908721757,609384779,-1361689808,53.77,1081.4,3.48,100,100,86,0.5
908721758,609385087,-1361690199,57.45,1081.2,3.555,100,100,86,0.5
908721759,609385371,-1361690724,61.49,1081.8,3.611,100,101,87,0.5
908721760,609385646,-1361691287,65.66,1081.8,3.648,100,101,87,0.5
908721761,609385930,-1361691836,69.82,1081.6,3.676,100,102,87,0.0
908721762,609386215,-1361692351,73.84,1081.4,3.6860000000000004,100,103,86,0.0
908721763,609386487,-1361692828,77.63,1081.6,3.714,100,104,86,0.0
908721764,609386747,-1361693384,81.69,1081.4,3.714,100,104,86,0.0
908721765,609386971,-1361693974,85.73,1081.6,3.7230000000000003,100,104,87,0.0
908721766,609387171,-1361694667,90.17,1081.6,3.742,100,106,87,0.0
908721767,609387411,-1361695181,93.93,1081.6,3.77,100,110,87,0.0
908721768,609387586,-1361695900,98.33,1081.6,3.779,100,110,86,0.0
908721769,609387774,-1361696552,102.5,1081.6,3.7880000000000003,100,116,86,0.0
908721770,609387797,-1361696767,103.7,1081.6,3.7880000000000003,100,116,86,0.0
908721771,609388002,-1361696999,105.88,1081.8,3.742,100,122,86,0.0
908721772,609388239,-1361697286,108.51,1081.8,3.7230000000000003,100,125,86,0.0
908721773,609388373,-1361697939,112.42,1082.2,3.7039999999999997,100,125,86,0.0
908721774,609388623,-1361698242,115.22,1082.4,3.7039999999999997,100,130,86,0.0
908721775,609388894,-1361698513,118.04,1082.4,3.676,100,132,85,0.0
908721776,609389167,-1361698771,120.81,1082.6,3.658,100,133,85,0.0
908721777,609389453,-1361699041,123.77,1082.8,3.639,100,135,85,0.0
908721778,609389625,-1361699605,127.4,1082.8,3.62,100,136,85,0.0
908721779,609389815,-1361699977,130.15,1082.8,3.611,100,138,85,0.0
908721780,609389993,-1361700368,132.95,1082.8,3.592,100,139,85,0.0
908721781,609390169,-1361700798,135.94,1082.8,3.574,100,139,84,0.0
908721782,609390331,-1361701291,139.2,1082.8,3.5460000000000003,100,141,84,0.0
908721783,609390400,-1361701990,143.27,1083.0,3.5460000000000003,100,141,85,0.0
908721784,609390548,-1361702509,146.61,1083.0,3.536,100,141,85,0.0
908721785,609390712,-1361703051,150.14,1083.2,3.5269999999999997,100,143,85,0.0
