record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm]
908739387,0,0,0.0,1098.0,0.0,100,114,61,0.5
908739388,0,0,0.0,1098.0,0.0,100,114,0,0.0
908739389,0,0,0.0,1098.0,0.0,100,114,0,0.0
908739390,0,0,0.0,1098.0,0.0,100,114,0,0.0
908739391,0,0,0.0,1098.0,0.0,100,114,0,0.0
908739392,0,0,0.0,1098.0,0.0,100,114,0,0.0
908739393,0,0,0.0,1098.0,0.0,100,114,0,0.0
908739394,0,0,2.45,1098.0,2.454,100,114,87,0.5
908739395,0,0,5.1,1098.0,2.65,100,114,87,0.5
908739396,0,0,7.79,1098.0,2.687,100,114,87,0.5
908739397,0,0,10.56,1098.0,2.7710000000000004,100,114,87,0.5
908739398,0,0,13.38,1098.0,2.818,100,114,87,0.5
908739399,0,0,16.15,1098.0,2.7710000000000004,100,114,87,0.5
908739400,0,0,19.03,1098.0,2.8739999999999997,100,114,88,0.5
908739401,0,0,21.9,1098.0,2.8739999999999997,100,114,88,0.5
908739402,0,0,24.66,1098.0,2.762,100,115,87,0.5
908739403,0,0,27.26,1098.0,2.603,100,115,87,0.5
908739404,0,0,29.85,1098.0,2.585,100,115,88,0.5
908739405,0,0,32.45,1098.0,2.594,100,115,89,0.5
908739406,0,0,35.06,1098.0,2.613,100,115,89,0.5
908739407,0,0,37.68,1098.0,2.622,100,117,89,0.5
908739408,0,0,40.31,1098.0,2.6310000000000002,100,117,89,0.5
908739409,0,0,42.87,1098.0,2.5660000000000003,100,121,89,0.5
908739410,0,0,45.38,1098.0,2.501,100,121,88,0.5
908739411,0,0,47.89,1098.0,2.519,100,127,88,0.5
908739412,0,0,50.47,1098.0,2.575,100,130,89,0.5
908739413,0,0,53.08,1098.0,2.603,100,132,89,0.5
908739414,0,0,55.69,1098.0,2.622,100,132,89,0.5
908739415,0,0,58.32,1098.0,2.622,100,137,89,0.5
908739416,0,0,60.95,1098.0,2.6310000000000002,100,137,89,0.5
908739417,0,0,63.58,1098.0,2.6310000000000002,100,139,89,0.5
908739418,0,0,66.22,1098.0,2.641,100,142,89,0.5
908739419,0,0,68.87,1098.0,2.65,100,143,89,0.5
908739420,0,0,71.54,1098.0,2.6689999999999996,100,143,89,0.5
908739421,0,0,74.22,1098.0,2.678,100,145,89,0.5
908739422,0,0,76.89,1098.0,2.678,100,146,88,0.5
908739423,0,0,79.57,1098.0,2.678,100,146,88,0.5
