Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"908894865",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"16884",,unknown,"300",,heart_rate,"122",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894866",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894867",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894868",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"120",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894869",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894870",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"119",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894871",s,distance,"0.0",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908894872",s,distance,"2.86",m,altitude,"1098.0",m,speed,"2.855",m/s,unknown,"0",,unknown,"300",,heart_rate,"118",bpm,cadence,"78",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.855",m/s,
Data,13,record,timestamp,"908894873",s,distance,"5.89",m,altitude,"1098.0",m,speed,"3.032",m/s,unknown,"0",,unknown,"300",,heart_rate,"117",bpm,cadence,"78",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.032",m/s,
Data,13,record,timestamp,"908894874",s,distance,"8.89",m,altitude,"1098.0",m,speed,"3.004",m/s,unknown,"0",,unknown,"300",,heart_rate,"117",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.004",m/s,
