Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Data,13,record,timestamp,"908896018",s,position_lat,"609378587",semicircles,position_long,"-1361682825",semicircles,distance,"0.08",m,altitude,"1098.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"111",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908896019",s,position_lat,"609378588",semicircles,position_long,"-1361682860",semicircles,distance,"0.18",m,altitude,"1098.4",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.4",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908896020",s,position_lat,"609378716",semicircles,position_long,"-1361682958",semicircles,distance,"1.46",m,altitude,"1099.0",m,speed,"0.0",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"0.0",m/s,
Data,13,record,timestamp,"908896021",s,position_lat,"609378919",semicircles,position_long,"-1361683116",semicircles,distance,"3.56",m,altitude,"1099.0",m,speed,"0.009",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1099.0",m,enhanced_speed,"0.009",m/s,
Data,13,record,timestamp,"908896022",s,position_lat,"609379208",semicircles,position_long,"-1361683331",semicircles,distance,"6.53",m,altitude,"1098.8",m,speed,"1.931",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.8",m,enhanced_speed,"1.931",m/s,
Data,13,record,timestamp,"908896023",s,position_lat,"609379416",semicircles,position_long,"-1361683559",semicircles,distance,"8.87",m,altitude,"1098.8",m,speed,"2.193",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.8",m,enhanced_speed,"2.193",m/s,
Data,13,record,timestamp,"908896024",s,position_lat,"609379682",semicircles,position_long,"-1361683804",semicircles,distance,"11.71",m,altitude,"1098.6",m,speed,"2.314",m/s,unknown,"0",,unknown,"300",,heart_rate,"110",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.6",m,enhanced_speed,"2.314",m/s,
Data,13,record,timestamp,"908896025",s,position_lat,"609379998",semicircles,position_long,"-1361683991",semicircles,distance,"14.82",m,altitude,"1098.8",m,speed,"2.743",m/s,unknown,"0",,unknown,"300",,heart_rate,"111",bpm,cadence,"79",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.8",m,enhanced_speed,"2.743",m/s,
Data,13,record,timestamp,"908896026",s,position_lat,"609380299",semicircles,position_long,"-1361684262",semicircles,distance,"18.03",m,altitude,"1098.4",m,speed,"2.911",m/s,unknown,"0",,unknown,"300",,heart_rate,"111",bpm,cadence,"81",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.4",m,enhanced_speed,"2.911",m/s,
Data,13,record,timestamp,"908896027",s,position_lat,"609380595",semicircles,position_long,"-1361684583",semicircles,distance,"21.36",m,altitude,"1098.0",m,speed,"3.014",m/s,unknown,"0",,unknown,"300",,heart_rate,"113",bpm,cadence,"81",rpm,fractional_cadence,"0.5",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.014",m/s,
