record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm]
909157228,0,0,0.0,1099.0,0.0,100,108,0,0.0
909157229,0,0,0.0,1099.0,0.0,100,109,0,0.0
909157230,0,0,0.9,1099.0,0.8959999999999999,100,110,42,0.0
909157231,0,0,1.95,1099.0,1.054,100,109,42,0.0
909157232,0,0,4.39,1099.0,2.445,100,108,79,0.5
909157233,0,0,6.62,1099.0,2.221,100,107,79,0.5
909157234,0,0,9.13,1099.0,2.519,100,107,79,0.5
909157235,0,0,11.69,1099.0,2.557,100,111,79,0.5
909157236,0,0,14.28,1099.0,2.585,100,110,80,0.5
909157237,0,0,16.53,1099.0,2.258,100,112,80,0.5
909157238,0,0,18.76,1099.0,2.23,100,115,79,0.5
909157239,0,0,21.0,1099.0,2.239,100,118,79,0.5
909157240,0,0,23.09,1099.0,2.09,100,122,79,0.5
909157241,0,0,25.15,1099.0,2.053,100,125,78,0.5
909157242,0,0,27.24,1099.0,2.09,100,131,78,0.0
909157243,0,0,29.35,1099.0,2.109,100,136,78,0.0
909157244,0,0,31.47,1099.0,2.127,100,142,78,0.0
909157245,0,0,33.62,1099.0,2.146,100,145,78,0.0
909157246,0,0,35.78,1099.0,2.165,100,151,79,0.0
909157247,0,0,37.96,1099.0,2.174,100,150,79,0.0
909157248,0,0,40.14,1099.0,2.1830000000000003,100,155,79,0.0
909157249,0,0,42.32,1099.0,2.1830000000000003,100,160,79,0.0
909157250,0,0,44.52,1099.0,2.193,100,160,79,0.5
909157251,0,0,46.72,1099.0,2.202,100,160,79,0.5
909157252,0,0,48.92,1099.0,2.202,100,161,79,0.5
909157253,0,0,51.13,1099.0,2.211,100,160,79,0.5
909157254,0,0,53.34,1099.0,2.211,100,158,79,0.5
909157255,0,0,55.55,1099.0,2.211,100,157,78,0.5
909157256,0,0,57.77,1099.0,2.211,100,156,78,0.5
909157257,0,0,59.96,1099.0,2.193,100,157,78,0.5
909157258,0,0,62.15,1099.0,2.193,100,158,78,0.0
909157259,0,0,64.38,1099.0,2.23,100,162,78,0.0
909157260,0,0,66.66,1099.0,2.2769999999999997,100,165,78,0.5
909157261,0,0,68.97,1099.0,2.314,100,165,79,0.5
909157262,0,0,71.29,1099.0,2.314,100,161,79,0.5
909157263,0,0,73.59,1099.0,2.305,100,163,79,0.5
909157264,0,0,75.86,1099.0,2.267,100,164,78,0.5
909157265,0,0,78.12,1099.0,2.258,100,161,78,0.5
909157266,0,0,80.37,1099.0,2.258,100,163,78,0.5
909157267,0,0,82.62,1099.0,2.249,100,166,78,0.5
909157268,0,0,84.86,1099.0,2.239,100,168,78,0.0
909157269,0,0,87.09,1099.0,2.23,100,170,78,0.0
909157270,0,0,89.33,1099.0,2.23,100,171,78,0.0
909157271,0,0,91.55,1099.0,2.23,100,170,78,0.5
909157272,0,0,93.77,1099.0,2.221,100,168,78,0.5
909157273,0,0,95.99,1099.0,2.221,100,166,78,0.5
909157274,0,0,98.21,1099.0,2.221,100,165,78,0.5
909157275,0,0,100.44,1099.0,2.221,100,164,78,0.5
909157276,0,0,102.66,1099.0,2.221,100,167,78,0.5
909157277,0,0,104.91,1099.0,2.258,100,171,78,0.5
909157278,0,0,107.16,1099.0,2.249,100,175,78,0.5
909157279,0,0,109.47,1099.0,2.305,100,173,79,0.5
909157280,0,0,111.81,1099.0,2.342,100,169,78,0.5
909157281,0,0,114.18,1099.0,2.37,100,166,78,0.5
909157282,0,0,116.52,1099.0,2.342,100,164,78,0.5
909157283,0,0,118.84,1099.0,2.323,100,168,78,0.5
909157284,0,0,121.16,1099.0,2.314,100,166,78,0.5
909157285,0,0,123.43,1099.0,2.267,100,168,78,0.5
909157286,0,0,125.68,1099.0,2.258,100,168,78,0.5
909157287,0,0,127.83,1099.0,2.146,100,171,78,0.0
909157288,0,0,129.9,1099.0,2.0709999999999997,100,172,78,0.0
909157289,0,0,131.9,1099.0,1.9969999999999999,100,173,78,0.0
909157290,0,0,133.95,1099.0,2.053,100,172,78,0.0
909157291,0,0,136.13,1099.0,2.174,100,171,78,0.0
909157292,0,0,138.38,1099.0,2.258,100,167,78,0.0
909157293,0,0,140.71,1099.0,2.323,100,165,78,0.0
909157294,0,0,143.1,1099.0,2.3890000000000002,100,168,79,0.0
909157295,0,0,145.53,1099.0,2.435,100,170,79,0.0
909157296,0,0,147.99,1099.0,2.463,100,171,79,0.0
909157297,0,0,150.5,1099.0,2.501,100,171,79,0.0
909157298,0,0,153.0,1099.0,2.501,100,171,78,0.0
909157299,0,0,155.5,1099.0,2.501,100,170,78,0.0
909157300,0,0,158.01,1099.0,2.51,100,166,79,0.0
909157301,0,0,160.53,1099.0,2.519,100,163,79,0.0
909157302,0,0,163.05,1099.0,2.529,100,163,79,0.0
909157303,0,0,165.52,1099.0,2.463,100,165,79,0.0
909157304,0,0,167.98,1099.0,2.463,100,162,78,0.0
909157305,0,0,170.4,1099.0,2.417,100,164,78,0.0
909157306,0,0,172.77,1099.0,2.37,100,166,78,0.0
909157307,0,0,175.16,1099.0,2.398,100,167,78,0.0
909157308,0,0,177.53,1099.0,2.37,100,167,79,0.0
909157309,0,0,179.92,1099.0,2.3890000000000002,100,167,79,0.0
909157310,0,0,182.29,1099.0,2.37,100,168,79,0.0
909157311,0,0,184.65,1099.0,2.351,100,168,79,0.0
909157312,0,0,186.98,1099.0,2.333,100,169,79,0.0
909157313,0,0,189.29,1099.0,2.314,100,170,78,0.0
909157314,0,0,191.59,1099.0,2.295,100,170,78,0.0
909157315,0,0,193.87,1099.0,2.286,100,170,78,0.0
909157316,0,0,196.15,1099.0,2.2769999999999997,100,169,79,0.0
909157317,0,0,198.43,1099.0,2.2769999999999997,100,169,79,0.0
909157318,0,0,200.69,1099.0,2.267,100,168,79,0.0
909157319,0,0,202.95,1099.0,2.258,100,167,79,0.0
909157320,0,0,205.24,1099.0,2.286,100,167,79,0.0
909157321,0,0,207.55,1099.0,2.314,300,170,80,0.0
909157322,0,0,209.89,1099.0,2.342,300,171,80,0.0
909157323,0,0,212.23,1099.0,2.333,300,171,80,0.0
909157324,0,0,214.55,1099.0,2.323,300,171,80,0.0
909157325,0,0,216.89,1099.0,2.342,300,170,79,0.0
909157326,0,0,219.34,1099.0,2.445,300,169,79,0.0
909157327,0,0,221.84,1099.0,2.501,300,168,80,0.0
909157328,0,0,224.27,1099.0,2.435,300,166,80,0.0
909157329,0,0,226.68,1099.0,2.407,300,165,80,0.0
909157330,0,0,229.06,1099.0,2.379,300,164,80,0.0
909157331,0,0,231.47,1099.0,2.407,300,163,80,0.0
909157332,0,0,233.9,1099.0,2.435,300,163,80,0.0
909157333,0,0,236.36,1099.0,2.454,300,163,80,0.0
909157334,0,0,238.83,1099.0,2.4730000000000003,300,162,80,0.0
909157335,0,0,241.31,1099.0,2.4819999999999998,300,162,80,0.0
909157336,0,0,243.81,1099.0,2.501,300,162,80,0.0
909157337,0,0,246.33,1099.0,2.519,300,161,81,0.0
909157338,0,0,248.87,1099.0,2.5380000000000003,300,160,81,0.0
909157339,0,0,251.42,1099.0,2.557,300,160,81,0.0
909157340,0,0,253.98,1099.0,2.557,300,159,80,0.0
909157341,0,0,256.54,1099.0,2.557,300,159,80,0.0
909157342,0,0,259.09,1099.0,2.557,300,155,80,0.0
909157343,0,0,261.65,1099.0,2.557,300,148,80,0.0
909157344,0,0,264.21,1099.0,2.557,300,147,80,0.0
909157345,0,0,266.76,1099.0,2.557,300,147,80,0.0
909157346,0,0,269.32,1099.0,2.557,300,147,80,0.0
909157347,0,0,271.89,1099.0,2.5660000000000003,300,148,80,0.0
909157348,0,0,274.46,1099.0,2.5660000000000003,300,148,80,0.0
909157349,0,0,277.02,1099.0,2.5660000000000003,300,149,80,0.0
909157350,0,0,279.58,1099.0,2.5660000000000003,300,149,80,0.0
909157351,0,0,282.15,1099.0,2.5660000000000003,300,150,79,0.0
909157352,0,0,284.72,1099.0,2.5660000000000003,300,151,79,0.0
909157353,0,0,287.28,1099.0,2.5660000000000003,300,151,80,0.0
909157354,0,0,289.86,1099.0,2.575,300,151,80,0.0
909157355,0,0,292.43,1099.0,2.575,300,151,80,0.0
909157356,0,0,295.01,1099.0,2.575,300,151,80,0.0
909157357,0,0,297.59,1099.0,2.575,300,151,80,0.0
909157358,0,0,300.18,1099.0,2.594,300,151,80,0.0
909157359,0,0,302.76,1099.0,2.585,300,152,80,0.0
909157360,0,0,305.36,1099.0,2.594,300,152,80,0.0
909157361,0,0,307.99,1099.0,2.6310000000000002,300,152,80,0.0
909157362,0,0,310.63,1099.0,2.641,300,151,80,0.0
909157363,0,0,313.26,1099.0,2.6310000000000002,300,150,80,0.0
909157364,0,0,315.83,1099.0,2.575,300,147,80,0.0
909157365,0,0,318.35,1099.0,2.519,300,147,80,0.0
909157366,0,0,320.88,1099.0,2.529,300,148,80,0.0
909157367,0,0,323.42,1099.0,2.5380000000000003,300,147,80,0.0
909157368,0,0,325.96,1099.0,2.5380000000000003,300,149,80,0.0
909157369,0,0,328.51,1099.0,2.557,300,151,80,0.0
909157370,0,0,331.07,1099.0,2.557,300,152,80,0.0
909157371,0,0,333.63,1099.0,2.557,300,151,80,0.0
909157372,0,0,336.19,1099.0,2.5660000000000003,300,151,79,0.0
909157373,0,0,338.77,1099.0,2.575,300,152,79,0.0
909157374,0,0,341.34,1099.0,2.575,300,152,79,0.0
909157375,0,0,343.91,1099.0,2.5660000000000003,300,155,79,0.0
909157376,0,0,346.42,1099.0,2.51,300,158,79,0.0
909157377,0,0,348.87,1099.0,2.454,300,159,79,0.0
