record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm]
909156013,609382000,-1361682160,0.0,1098.0,1.4180000000000001,300,118,60,0.5
909156014,609382098,-1361682306,1.22,1098.0,0.8490000000000001,300,120,60,0.5
909156015,609382181,-1361682468,2.4,1097.6,0.8490000000000001,300,122,42,0.0
909156016,609382319,-1361682695,4.23,1098.0,0.877,300,123,42,0.0
909156017,609382468,-1361682977,6.38,1097.6,1.232,300,125,42,0.0
909156018,609382597,-1361683294,8.52,1097.8,1.53,300,127,42,0.0
909156019,609382723,-1361683591,10.56,1097.4,1.624,300,129,42,0.0
909156020,609382909,-1361683892,12.99,1097.8,1.642,300,131,78,0.0
909156021,609383106,-1361684208,15.55,1098.0,2.0709999999999997,300,134,79,0.5
909156022,609383317,-1361684532,18.24,1098.0,2.267,300,141,78,0.0
909156023,609383546,-1361684884,21.2,1097.4,2.333,300,145,79,0.0
909156024,609383766,-1361685198,23.96,1097.8,2.342,300,150,79,0.0
909156025,609383921,-1361685469,26.06,1096.8,2.342,300,149,79,0.0
909156026,609384092,-1361685740,28.3,1097.8,2.295,300,153,79,0.0
909156027,609384261,-1361686039,30.65,1098.0,2.295,300,152,78,0.0
909156028,609384408,-1361686338,32.85,1097.6,2.305,300,152,78,0.0
909156029,609384604,-1361686633,35.35,1098.0,2.314,300,155,78,0.0
909156030,609384801,-1361686937,37.9,1097.6,2.342,300,157,79,0.5
909156031,609384988,-1361687229,40.33,1097.8,2.37,300,156,79,0.5
909156032,609385187,-1361687509,42.8,1097.8,2.379,300,159,79,0.5
909156033,609385393,-1361687830,45.46,1097.8,2.3890000000000002,300,162,79,0.5
909156034,609385625,-1361688190,48.45,1097.8,2.398,300,165,78,0.5
909156035,609385841,-1361688541,51.33,1097.8,2.435,300,167,78,0.5
909156036,609386031,-1361688941,54.24,1097.8,2.4730000000000003,300,169,78,0.5
909156037,609386235,-1361689326,57.18,1098.0,2.5380000000000003,300,168,78,0.0
909156038,609386427,-1361689687,59.94,1098.0,2.557,300,172,78,0.0
909156039,609386614,-1361690063,62.74,1098.0,2.557,300,173,78,0.0
909156040,609386805,-1361690446,65.59,1098.0,2.575,300,177,78,0.0
909156041,609386990,-1361690844,68.48,1098.0,2.603,300,179,79,0.5
909156042,609387174,-1361691235,71.33,1098.0,2.622,300,178,79,0.5
909156043,609387368,-1361691647,74.34,1098.0,2.641,300,177,79,0.5
909156044,609387576,-1361692070,77.47,1098.0,2.659,300,175,78,0.5
909156045,609387781,-1361692476,80.52,1098.0,2.678,300,173,78,0.5
909156046,609387988,-1361692900,83.66,1098.0,2.687,300,171,78,0.5
909156047,609388170,-1361693336,86.73,1098.0,2.697,300,172,79,0.5
909156048,609388337,-1361693766,89.68,1098.0,2.7060000000000004,300,169,79,0.5
909156049,609388516,-1361694202,92.74,1098.0,2.725,300,174,79,0.5
909156050,609388705,-1361694634,95.81,1098.2,2.734,300,178,79,0.5
909156051,609388880,-1361695064,98.81,1098.2,2.753,300,178,78,0.0
909156052,609389050,-1361695473,101.69,1098.2,2.7710000000000004,300,179,77,0.5
909156053,609389246,-1361695883,104.72,1098.2,2.7710000000000004,300,179,78,0.0
909156054,609389425,-1361696295,107.65,1098.2,2.79,300,179,78,0.0
909156055,609389598,-1361696703,110.53,1098.2,2.79,300,178,78,0.0
909156056,609389655,-1361696825,111.43,1098.2,2.79,300,178,78,0.0
909156057,609389718,-1361697008,112.65,1098.4,2.7710000000000004,300,176,79,0.0
909156058,609389820,-1361697291,114.56,1098.4,2.734,300,174,79,0.0
909156059,609389946,-1361697648,116.96,1098.8,2.725,300,173,79,0.0
909156060,609390077,-1361698068,119.72,1098.8,2.725,300,172,79,0.0
909156061,609390205,-1361698500,122.52,1098.8,2.725,300,172,79,0.0
909156062,609390325,-1361698965,125.47,1099.0,2.725,300,173,79,0.0
909156063,609390428,-1361699459,128.53,1099.0,2.725,300,173,80,0.0
909156064,609390497,-1361699935,131.4,1099.0,2.734,300,174,80,0.0
909156065,609390586,-1361700415,134.34,1099.2,2.7430000000000003,300,176,80,0.0
909156066,609390669,-1361700892,137.24,1099.2,2.7430000000000003,300,179,80,0.0
909156067,609390760,-1361701389,140.28,1099.2,2.753,300,185,80,0.0
909156068,609390846,-1361701887,143.32,1099.2,2.762,300,186,80,0.0
909156069,609390938,-1361702388,146.38,1099.2,2.7710000000000004,300,183,79,0.0
909156070,609391037,-1361702879,149.41,1099.2,2.781,300,177,79,0.0
909156071,609391140,-1361703374,152.47,1099.2,2.781,300,172,79,0.0
909156072,609391234,-1361703860,155.46,1099.2,2.79,300,172,79,0.0
909156073,609391330,-1361704344,158.44,1099.2,2.799,300,174,79,0.0
909156074,609391450,-1361704809,161.39,1099.2,2.799,300,174,79,0.0
909156075,609391599,-1361705275,164.45,1099.2,2.8089999999999997,300,177,80,0.0
909156076,609391760,-1361705732,167.53,1099.2,2.818,300,177,80,0.0
909156077,609391949,-1361706195,170.77,1099.2,2.818,300,178,80,0.0
909156078,609392115,-1361706642,173.82,1099.2,2.827,300,176,80,0.0
909156079,609392267,-1361707084,176.78,1099.2,2.8369999999999997,300,174,80,0.0
909156080,609392309,-1361707426,178.73,1099.2,2.8369999999999997,300,170,80,0.0
909156081,609392398,-1361707838,181.25,1099.2,2.827,300,171,80,0.0
909156082,609392517,-1361708235,183.82,1099.2,2.827,300,172,80,0.0
909156083,609392654,-1361708653,186.58,1099.2,2.827,300,175,80,0.0
909156084,609392811,-1361709060,189.38,1099.2,2.827,300,178,80,0.0
909156085,609392982,-1361709466,192.24,1099.2,2.827,300,179,81,0.0
909156086,609393141,-1361709887,195.12,1099.2,2.827,300,179,81,0.0
909156087,609393293,-1361710336,198.12,1099.4,2.827,300,178,81,0.0
909156088,609393421,-1361710782,201.0,1099.4,2.827,300,176,81,0.0
909156089,609393524,-1361711234,203.82,1099.6,2.8369999999999997,300,175,80,0.0
909156090,609393583,-1361711705,206.63,1099.6,2.8369999999999997,300,174,80,0.0
909156091,609393636,-1361712198,209.57,1099.8,2.8369999999999997,300,174,80,0.0
909156092,609393611,-1361712799,213.07,1099.8,2.8369999999999997,300,175,80,0.0
909156093,609393583,-1361713374,216.46,1100.0,2.846,300,176,80,0.0
909156094,609393522,-1361713902,219.61,1100.0,2.855,300,178,80,0.0
909156095,609393412,-1361714404,222.72,1100.0,2.865,300,179,80,0.0
909156096,609393299,-1361714909,225.87,1100.0,2.865,300,180,80,0.0
909156097,609393179,-1361715443,229.2,1100.0,2.8739999999999997,300,180,81,0.0
909156098,609393025,-1361715904,232.26,1100.0,2.883,300,180,81,0.0
909156099,609392842,-1361716369,235.48,1100.0,2.883,300,179,80,0.0
909156100,609392647,-1361716843,238.81,1100.0,2.8930000000000002,300,178,80,0.0
909156101,609392446,-1361717319,242.17,1100.0,2.9019999999999997,300,178,80,0.0
909156102,609392281,-1361717857,245.68,1100.0,2.911,300,178,80,0.0
909156103,609392125,-1361718418,249.28,1100.0,2.9210000000000003,300,178,80,0.0
909156104,609391968,-1361718942,252.69,1100.0,2.9210000000000003,300,178,81,0.0
909156105,609391817,-1361719478,256.13,1100.0,2.93,300,179,81,0.0
909156106,609391631,-1361719968,259.49,1099.8,2.9389999999999996,300,180,82,0.0
909156107,609391468,-1361720455,262.73,1099.6,2.9389999999999996,300,180,81,0.0
909156108,609391329,-1361720926,265.78,1099.4,2.948,300,180,81,0.0
909156109,609391168,-1361721381,268.85,1099.4,2.967,300,179,81,0.0
909156110,609390997,-1361721862,272.09,1099.4,2.967,300,179,81,0.0
909156111,609390861,-1361722378,275.37,1099.2,2.9760000000000004,300,179,81,0.0
909156112,609390728,-1361722902,278.69,1099.0,2.986,300,178,81,0.0
909156113,609390602,-1361723418,281.94,1099.2,3.0039999999999996,300,178,81,0.0
909156114,609390483,-1361723916,285.07,1099.0,3.014,300,177,81,0.0
909156115,609390376,-1361724422,288.21,1099.0,3.023,300,177,81,0.0
909156116,609390297,-1361724950,291.39,1099.0,3.042,300,177,81,0.0
909156117,609390207,-1361725440,294.39,1099.0,3.051,300,176,81,0.0
909156118,609390126,-1361725917,297.29,1099.0,3.051,300,176,81,0.0
909156119,609390028,-1361726391,300.22,1098.8,3.051,300,176,81,0.0
909156120,609389928,-1361726872,303.19,1098.8,3.042,300,176,81,0.0
909156121,609389795,-1361727351,306.26,1098.8,3.042,300,176,81,0.0
909156122,609389599,-1361727867,309.69,1098.8,3.042,300,176,80,0.0
909156123,609389430,-1361728436,313.3,1098.6,3.051,300,176,80,0.0
909156124,609389321,-1361728969,316.58,1098.6,3.0789999999999997,300,176,80,0.0
909156125,609389202,-1361729444,319.56,1098.8,3.088,300,175,80,0.0
909156126,609389070,-1361729910,322.54,1098.8,3.088,300,175,80,0.0
909156127,609388962,-1361730412,325.65,1098.8,3.0789999999999997,300,175,80,0.0
909156128,609388838,-1361730859,328.52,1098.8,3.0789999999999997,300,175,80,0.0
909156129,609388705,-1361731313,331.45,1098.8,3.07,300,174,80,0.0
909156130,609388592,-1361731787,334.43,1098.8,3.06,300,175,80,0.0
909156131,609388472,-1361732264,337.44,1098.8,3.06,300,175,79,0.0
909156132,609388367,-1361732738,340.39,1098.8,3.06,300,176,79,0.0
909156133,609388281,-1361733263,343.58,1099.0,3.051,300,177,79,0.0
909156134,609388216,-1361733787,346.71,1099.2,3.051,300,178,79,0.0
909156135,609388142,-1361734289,349.74,1099.2,3.051,300,179,79,0.0
909156136,609388062,-1361734810,352.89,1099.2,3.051,300,179,79,0.0
909156137,609387982,-1361735321,355.97,1099.2,3.051,300,180,79,0.0
909156138,609387928,-1361735813,358.91,1099.2,3.051,300,180,79,0.0
909156139,609387869,-1361736334,362.01,1099.2,3.051,300,180,80,0.0
909156140,609387773,-1361736933,365.59,1099.2,3.051,300,180,80,0.0
909156141,609387688,-1361737494,368.94,1099.2,3.06,300,180,80,0.0
909156142,609387590,-1361738011,372.08,1099.2,3.07,300,180,80,0.0
909156143,609387542,-1361738546,375.24,1099.2,3.07,300,180,80,0.0
909156144,609387523,-1361739036,378.12,1099.2,3.07,300,181,79,0.0
909156145,609387521,-1361739572,381.27,1099.2,3.07,300,182,79,0.0
909156146,609387531,-1361740033,383.98,1099.2,3.07,300,182,79,0.0
909156147,609387534,-1361740485,386.63,1099.4,3.06,300,182,80,0.0
909156148,609387547,-1361740988,389.58,1099.4,3.051,300,181,80,0.0
909156149,609387560,-1361741483,392.49,1099.4,3.051,300,181,81,0.0
909156150,609387569,-1361741951,395.24,1099.4,3.042,300,180,81,0.0
909156151,609387565,-1361742469,398.29,1099.4,3.032,300,180,80,0.0
909156152,609387556,-1361742991,401.34,1099.6,3.032,300,180,80,0.0
909156153,609387562,-1361743478,404.2,1099.6,3.032,300,180,80,0.0
